ModelName,Algorithm,CV_Accuracy,Accuracy,Precision,Recall,F1Score,ROC_AUC,TrainDate
Logistic Regression,LogisticRegression,0.801029470402726,0.8190205819730305,0.6809815950920245,0.5951742627345844,0.6351931330472103,0.861868187605453,2026-07-10
Random Forest,RandomForestClassifier,0.7946381487184417,0.7892122072391767,0.6386861313868614,0.4691689008042895,0.5409582689335394,0.8460023600774271,2026-07-10
XGBoost,XGBClassifier,0.7751111503370365,0.794889992902768,0.6381578947368421,0.5201072386058981,0.5731166912850812,0.840963905307069,2026-07-10
